Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,Note
MCB,Common Stock,Metropolitan Bank Holding Corp,"Metropolitan Bank Holding Corp. The company is headquartered in New York, New York.",1476034,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"99 PARK AVENUE, NEW YORK, NY, US",December,44651,1024185000,None,14.17,None,51,0,0,6.45,19.63,0.342,0.506,0.0106,0.135,176882000,176882000,6.45,0.214,0.466,145,14.17,-,5.79,1.794,-,-,1.247,115.78,55.95,98.48,92.26,10931700,None,None,
MHK,Common Stock,Mohawk Industries Inc,"Mohawk Industries is an American flooring manufacturer based in Calhoun, Georgia, United States. Mohawk produces floor covering products for residential and commercial applications in North America and residential applications in Europe.",851968,NYSE,USD,USA,MANUFACTURING,CARPETS & RUGS,"160 S INDUSTRIAL BLVD, PO BOX 12069, CALHOUN, GA, US",December,44651,9260868000,1952059000,2.921,0.932,128.36,0,0,49.9,162.68,0.0922,0.121,0.0596,0.122,11200613000,3288830000,49.9,-0.195,0.045,168.5,2.921,10.08,0.827,1.064,0.961,8.25,1.507,231.8,117.56,132.75,168.23,63539000,None,None,
MSFT,Common Stock,Microsoft Corporation,"Microsoft Corporation is an American multinational technology company which produces computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2016. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook.",789019,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"ONE MICROSOFT WAY, REDMOND, WA, US",June,44651,2.12756E+12,90829996000,30.3,1.906,21.34,2.36,0.0087,9.39,24.59,0.385,0.425,0.152,0.49,1.84903E+11,1.15856E+11,9.39,0.222,0.201,363.13,30.3,25.77,11.51,12.74,10.55,20.61,0.908,348.95,236.15,292.19,305.1,7479030000,2022-06-09,2022-05-18,
MSI,Common Stock,Motorola Solutions Inc,"Motorola Solutions, Inc., is an American data communications and telecommunications equipment provider that succeeded Motorola, Inc., following the spinoff of the mobile phone division into Motorola Mobility in 2011. The company is headquartered in Chicago, Illinois.",68505,NYSE,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"500 W. MONROE ST., CHICAGO, IL, US",December,44561,35962806000,2522000000,29.95,1.942,-5.88,2.92,0.0148,7.17,48.29,0.152,0.255,0.113,0,8171000000,4048000000,7.17,-0.032,0.021,272.4,29.95,21.74,4.401,-,4.9,18.16,0.882,272.67,182.19,227.3,238.85,167448000,2022-04-14,2022-03-14,
ON,Common Stock,ON Semiconductor Corporation,"ON Semiconductor Corporation manufactures and sells semiconductor components for various electronic devices worldwide. The company is headquartered in Phoenix, Arizona.",1097864,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"5005 EAST MCDOWELL ROAD, PHOENIX, AZ, US",December,44651,24158935000,1981800000,24.5,0.887,10.6,0,0,2.27,15.83,0.15,0.205,0.0946,0.248,6739800000,2714300000,2.27,3.576,0.276,72.96,24.5,12.59,3.584,4.936,3.614,12.92,1.71,71.26,34.01,57.8,54.34,434357000,None,None,
ORCL,Common Stock,Oracle Corporation,"Oracle is an American multinational computer technology corporation headquartered in Austin, Texas. The company was formerly headquartered in Redwood Shores, California until December 2020 when it moved its headquarters to Texas. The company sells database software and technology, cloud engineered systems, and enterprise software products, particularly its own brands of database management systems.",1341439,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2300 ORACLE WAY, MAIL STOP 5 OP 7, AUSTIN, TX, UNITED STATES",May,44620,1.97444E+11,18399001000,27.78,1.763,1.861,1.28,0.0174,2.664,15.23,0.181,0.379,0.0875,0.106,41827000000,32624000000,2.664,-0.5,0.042,92.17,27.78,13.93,4.721,47.38,6.0,17.95,0.83,105.53,69.96,78.64,86.99,2668160000,2022-04-21,2022-04-07,
PG,Common Stock,The Procter & Gamble Company,"The Procter & Gamble Company (P&G) is an American multinational consumer goods corporation headquartered in Cincinnati, Ohio, founded in 1837 by William Procter and James Gamble. It specializes in a wide range of personal health, consumer health, personal care, and hygiene products; these products are organized into several segments including Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine, & Family Care. Before the sale of Pringles to Kellogg's, its product portfolio also included food, snacks, and beverages.",80424,NYSE,USD,USA,LIFE SCIENCES,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS","ONE PROCTER & GAMBLE PLAZA, CINCINNATI, OH, US",June,44651,3.80001E+11,21170999000,28.02,4.771,18.26,3.4,0.0228,5.65,32.17,0.185,0.235,0.0951,0.311,78346002000,39144000000,5.65,0.126,0.061,167.16,28.02,26.11,4.85,8.63,5.16,19.45,0.443,164.9,128.88,155.13,150.54,2399300000,2022-05-16,2022-04-21,
QCOM,Common Stock,QUALCOMM Incorporated,"Qualcomm is an American multinational corporation headquartered in San Diego, California, and incorporated in Delaware. It creates semiconductors, software, and services related to wireless technology. It owns patents critical to the 5G, 4G, CDMA2000, TD-SCDMA and WCDMA mobile communications standards.",804328,NASDAQ,USD,USA,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"5775 MOREHOUSE DR, SAN DIEGO, CA, US",September,44651,1.62702E+11,12751000000,16.65,0.684,10.07,2.69,0.0215,8.73,31.93,0.277,0.309,0.173,1.067,36036002000,19304000000,8.73,0.406,0.3,204.42,16.65,11.56,4.515,11.74,4.09,10.67,1.226,192.78,121.2,150.83,155.53,1120000000,2022-06-23,2022-06-01,
QGEN,Common Stock,QIAGEN N.V,"QIAGEN NV provides sample-to-knowledge solutions that transform biological materials into molecular knowledge globally. The company is headquartered in Venlo, the Netherlands.",1015820,NYSE,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","HULSTERWEG 82, VENLO, NL",December,44651,10533302000,863577000,20.95,4.654,13.64,0,0,2.21,9.88,0.228,0.292,0.0684,0.174,2251657000,1517938000,2.21,-0.379,0.02,51.68,20.95,21.32,4.678,3.327,4.843,12.06,0.283,58,41.32,47.47,51.45,227074000,None,None,
ROG,Common Stock,Rogers Corporation,"Rogers Corporation designs, develops, manufactures and sells engineering materials and components worldwide. The company is headquartered in Chandler, Arizona.",84748,NYSE,USD,USA,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS","2225 W CHANDLER BLVD, CHANDLER, AZ, US",December,44651,5123872000,171876000,47.56,1.056,59.74,0,0,5.73,49.8,0.116,0.138,0.0561,0.101,932886000,350839000,5.73,0.516,0.094,277,47.56,6.05,5.49,4.55,5.41,29.36,1.559,274.51,172.84,272.63,243.14,18803200,None,1992-01-09,
SHW,Common Stock,The Sherwin-Williams Company,"Sherwin Williams Company is a Cleveland, Ohio based company in the paint and coating manufacturing industry. The company primarily engages in the manufacture, distribution, and sale of paints, coatings, floorcoverings, and related products to professional, industrial, commercial, and retail customers primarily in North and South America and Europe.",89800,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY","101 PROSPECT AVE NW, CLEVELAND, OH, US",December,44651,69918015000,3232900000,38.51,2.646,9.38,2.2,0.0087,6.98,75.98,0.0935,0.133,0.081,0.617,19944600000,8542700000,6.98,-0.224,0.061,308.68,38.51,29.33,3.506,32.01,4.122,26.87,1.146,353.33,233.32,254.9,294.77,260131000,2022-06-03,2022-05-19,
SMTC,Common Stock,Semtech Corporation,"Semtech Corporation designs, develops, manufactures, and markets mixed-signal and analog semiconductor products and advanced algorithms. The company is headquartered in Camarillo, California.",88941,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"200 FLYNN ROAD, CAMARILLO, CA, US",January,44592,3922664000,175896000,31.87,1.787,11.51,0,0,1.92,11.46,0.17,0.196,0.0819,0.175,740858000,466081000,1.92,1.253,0.157,90.2,31.87,17.86,5.29,5.18,5.02,20.71,1.533,94.92,57.97,65.57,74.36,64106000,None,1980-09-05,
SPG,Common Stock,Simon Property Group Inc,"Simon Property Group, Inc. is a real estate investment trust that invests in shopping malls, outlet centers, and community/lifestyle centers. It is the largest owner of shopping malls in the United States and is headquartered in Indianapolis, Indiana.",1063761,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"225 WEST WASHINGTON STREET, INDIANAPOLIS, IN, US",December,44561,43887555000,3693957000,17.09,2.5,10.1,5.85,0.0559,6.84,15.57,0.44,0.471,0.044,0.637,5114689000,4143625000,6.84,0.798,0.173,163.82,17.09,21.79,8.58,11.67,12.52,13.22,1.498,167.2,110.84,130.79,140.97,328342000,2022-03-31,2022-03-09,
TSLA,Common Stock,Tesla Inc,"Tesla, Inc. is an American electric vehicle and clean energy company based in Palo Alto, California. Tesla's current products include electric cars, battery energy storage from home to grid-scale, solar panels and solar roof tiles, as well as other related products and services. In 2020, Tesla had the highest sales in the plug-in and battery electric passenger car segments, capturing 16% of the plug-in market (which includes plug-in hybrids) and 23% of the battery-electric (purely electric) market. Through its subsidiary Tesla Energy, the company develops and is a major installer of solar photovoltaic energy generation systems in the United States. Tesla Energy is also one of the largest global suppliers of battery energy storage systems, with 3 GWh of battery storage supplied in 2020.",1318605,NASDAQ,USD,USA,MANUFACTURING,MOTOR VEHICLES & PASSENGER CAR BODIES,"3500 DEER CREEK RD, PALO ALTO, CA, US",December,44651,9.35455E+11,9333000000,184.24,2.029,29.23,0,0,4.901,54.59,0.102,0.121,0.0714,0.204,53823001000,13606000000,4.901,7.54,0.649,993.82,184.24,72.99,17.38,26.47,14.33,68.87,2.079,1243.49,546.98,936.1,905.48,1036010000,None,None,
TW,Common Stock,Tradeweb Markets Inc,"Tradeweb Markets Inc. creates and operates electronic marketplaces in the Americas, Europe, the Middle East, Africa, Asia Pacific and internationally. ",1758730,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","1177 AVENUE OF THE AMERICAS, NEW YORK, NY, US",June,44651,25209649000,None,64.35,1.868,22.86,0.32,0.0045,1.09,5.34,0.211,0.34,0.0468,0.0529,1074857000,1018668000,1.09,-0.166,0.188,97.92,64.35,37.74,23.45,3.588,14.11,28.09,0.916,102.23,68.89,84.9,88.09,107246000,2022-06-15,2022-05-31,
TX,Common Stock,Ternium S.A,"Ternium SA manufactures and processes various steel products in Mexico, Argentina, Paraguay, Chile, Bolivia, Uruguay, Brazil, the United States, Colombia, Guatemala, Costa Rica, Honduras, El Salvador and Nicaragua. The company is headquartered in Luxembourg City, Luxembourg.",1342874,NYSE,USD,USA,MANUFACTURING,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)","26, BOULEVARD ROYAL, 4TH FLOOR, LUXEMBOURG, LU",December,44651,8421614000,5792932000,2.202,4.03,53.67,2.6,0.0606,19.48,81.97,0.238,0.328,0.22,0.422,16090744000,6188697000,19.48,0.256,0.678,54.54,2.202,3.131,0.523,0.738,0.415,1.1,1.563,55.75,31.83,43.34,44.85,196308000,2022-05-16,2022-05-05,
TXN,Common Stock,Texas Instruments Incorporated,"Texas Instruments Incorporated (TI) is an American technology company headquartered in Dallas, Texas, that designs and manufactures semiconductors and various integrated circuits, which it sells to electronics designers and manufacturers globally. It is one of the top 10 semiconductor companies worldwide based on sales volume.",97476,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"P.O. BOX 660199, DALLAS, TX, US",December,44651,1.60451E+11,9919000000,21.07,2.394,14.43,4.21,0.027,8.26,19.87,0.423,0.492,0.256,0.69,18343999000,12376000000,8.26,0.26,0.185,191.93,21.07,18.9,8.75,11.2,8.17,14.58,0.947,199.7,160.5,175.01,185.03,922134000,2022-05-17,2022-05-06,
TXT,Common Stock,Textron Inc,"Textron Inc. is an American industrial conglomerate based in Providence, Rhode Island. Textron's subsidiaries include Arctic Cat, Bell Textron, Textron Aviation (which itself includes the Beechcraft, Hawker, and Cessna brands), and Lycoming Engines.",217346,NYSE,USD,USA,MANUFACTURING,AIRCRAFT & PARTS,"40 WESTMINSTER ST, PROVIDENCE, RI, US",January,44592,14980783000,1271000000,21.01,0.979,31.42,0.08,0.0012,3.296,55.25,0.0603,0.0712,0.0352,0.118,12382000000,1943000000,3.296,-0.098,-0.094,87.18,21.01,15.63,1.21,2.198,1.343,11.84,1.711,79.16,63.01,71.01,72.18,216329000,2022-07-01,2022-06-09,
V,Common Stock,Visa Inc,"Visa Inc. is an American multinational financial services corporation headquartered in Foster City, California, United States. It facilitates electronic funds transfers throughout the world, most commonly through Visa-branded credit cards, debit cards and prepaid cards. Visa is one of the world's most valuable companies.",1403161,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","P.O. BOX 8999, SAN FRANCISCO, CA, US",September,44651,4.58632E+11,17735000000,35.31,1.738,15.82,1.39,0.007,6.04,12.01,0.516,0.664,0.13,0.356,25476999000,23375000000,6.04,0.291,0.241,268.92,35.31,30.3,18,13.91,17.43,24.12,0.922,251.47,186.67,213.71,220.34,1648000000,2022-06-01,2022-05-12,
VSTO,Common Stock,Vista Outdoor Inc,"Vista Outdoor Inc. designs, manufactures, and markets consumer products in the outdoor sports and recreation markets in the United States and internationally. The company is headquartered in Anoka, Minnesota.",1616318,NYSE,USD,USA,MANUFACTURING,"ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)","1 VISTA WAY, ANOKA, MN, US",March,44561,2039999000,644596000,5.07,0.73,18.22,0,0,7.15,49.04,0.151,0.203,0.185,0.506,2832550000,633650000,7.15,0.527,0.383,61.67,5.07,5.39,0.72,1.922,0.967,4.305,0.558,52.69,31.83,36.03,40.34,56214000,None,None,
WCC,Common Stock,WESCO International Inc,"WESCO International, Inc. provides business-to-business distribution, logistics, and supply chain solutions in the United States, Canada, and internationally. The company is headquartered in Pittsburgh, Pennsylvania.",929008,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES","225 WEST STATION SQUARE DRIVE, STE 700, PITTSBURGH, PA, US",December,44561,6250478000,1139074000,15.72,1.103,74.94,0,0,7.84,362.18,0.0255,0.0531,0.0494,0.131,18217513000,3792068000,7.84,26.42,0.175,157.55,15.72,10.59,0.343,1.653,0.613,11.16,2.289,140.92,93.08,124.26,122.39,50710000,None,None,
WDAY,Common Stock,Workday Inc,"Workday, Inc. provides business applications in the cloud worldwide. The company is headquartered in Pleasanton, California.",1327811,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"6230 STONERIDGE MALL ROAD, SUITE 200, PLEASANTON, CA, US",January,44592,52310909000,227273000,1812.26,2.708,18.07,0,0,0.115,20.78,0.0057,-0.0227,-0.0076,0.0075,5138798000,3710703000,0.115,0,0.216,308.88,1812.26,56.5,10.18,11.44,9.8,133.7,1.368,307.81,200.09,228.03,252.28,196000000,None,None,
WFG,Common Stock,West Fraser Timber Co. Ltd,"West Fraser Timber Co. Ltd., a diversified wood products company, produces and sells wood, paneling, and pulp and paper in western Canada and the southern United States. The company is headquartered in Vancouver, Canada.",1402388,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,44561,9191304000,4540000000,3.29,None,72.28,0.632,0.0114,27.03,96.48,0.28,0.376,0.338,0.582,10518000000,5875000000,27.03,-0.235,0.575,119,3.29,4.06,0.874,1.165,0.709,1.565,2.056,102.34,64.06,88.1,85.23,103366000,2022-04-05,2022-03-17,
WM,Common Stock,Waste Management Inc,"Waste Management, Inc. is an American waste management, comprehensive waste, and environmental services company in North America. Founded in 1968, the company is headquartered 800 Capitol in Houston, Texas.",823768,NYSE,USD,USA,ENERGY & TRANSPORTATION,REFUSE SYSTEMS,"1001 FANNIN STREET, HOUSTON, TX, US",December,44651,68276642000,4956000000,38.33,2.787,17.12,2.3,0.0158,4.29,42.65,0.101,0.165,0.0633,0.249,17931000000,6820000000,4.29,0.166,0.15,174.57,38.33,29.94,3.808,9.56,4.416,16.87,0.875,170.18,135.41,155.62,155.35,415207000,2022-03-31,2022-03-16,
XYL,Common Stock,Xylem Inc,"Xylem Inc. is a large American water technology provider, in public utility, residential, commercial, agricultural and industrial settings.",1524472,NYSE,USD,USA,TECHNOLOGY,PUMPS & PUMPING EQUIPMENT,"1133 WESTCHESTER AVENUE, WHITE PLAINS, NY, US",December,44561,14497486000,827000000,34.26,2.267,17.84,1.12,0.0149,2.35,28.82,0.0822,0.112,0.0427,0.138,5195000000,1979000000,2.35,-0.24,-0.036,94.54,34.26,30.96,2.791,4.505,3.014,18.82,1.114,138.02,80,86.19,113.06,180093000,2022-03-17,2022-02-16,
